g_name,g_label,K,A_K,viewport_area
power_alpha_0.5,|y|^{1/2},2,0.28,16.0
power_alpha_0.5,|y|^{1/2},3,0.12,16.0
power_alpha_0.5,|y|^{1/2},5,0.04,16.0
power_alpha_0.5,|y|^{1/2},7,0.04,16.0
power_alpha_0.5,|y|^{1/2},10,0.0,16.0
power_alpha_0.5,|y|^{1/2},15,0.0,16.0
power_alpha_0.5,|y|^{1/2},20,0.0,16.0
power_alpha_0.5,|y|^{1/2},30,0.0,16.0
power_alpha_0.5,|y|^{1/2},50,0.0,16.0
power_alpha_0.5,|y|^{1/2},70,0.0,16.0
power_alpha_0.5,|y|^{1/2},100,0.0,16.0
power_alpha_0.5,|y|^{1/2},150,0.0,16.0
power_alpha_0.5,|y|^{1/2},200,0.0,16.0
power_alpha_0.5,|y|^{1/2},300,0.0,16.0
power_alpha_0.5,|y|^{1/2},500,0.0,16.0
power_alpha_0.5,|y|^{1/2},700,0.0,16.0
power_alpha_0.5,|y|^{1/2},1000,0.0,16.0
power_alpha_0.5,|y|^{1/2},1500,0.0,16.0
power_alpha_0.5,|y|^{1/2},2000,0.0,16.0
power_alpha_0.5,|y|^{1/2},3000,0.0,16.0
power_alpha_0.5,|y|^{1/2},5000,0.0,10.985605433061174
power_alpha_0.5,|y|^{1/2},7000,0.0,8.39308396773137
power_alpha_0.5,|y|^{1/2},10000,0.0,6.309573444801931
power_alpha_0.75,|y|^{3/4},2,0.64,16.0
power_alpha_0.75,|y|^{3/4},3,0.36,16.0
power_alpha_0.75,|y|^{3/4},5,0.2,16.0
power_alpha_0.75,|y|^{3/4},7,0.12,16.0
power_alpha_0.75,|y|^{3/4},10,0.08,16.0
power_alpha_0.75,|y|^{3/4},15,0.04,16.0
power_alpha_0.75,|y|^{3/4},20,0.04,16.0
power_alpha_0.75,|y|^{3/4},30,0.0,16.0
power_alpha_0.75,|y|^{3/4},50,0.0,16.0
power_alpha_0.75,|y|^{3/4},70,0.0,16.0
power_alpha_0.75,|y|^{3/4},100,0.0,16.0
power_alpha_0.75,|y|^{3/4},150,0.0,16.0
power_alpha_0.75,|y|^{3/4},200,0.0,16.0
power_alpha_0.75,|y|^{3/4},300,0.0,16.0
power_alpha_0.75,|y|^{3/4},500,0.0,16.0
power_alpha_0.75,|y|^{3/4},700,0.0,16.0
power_alpha_0.75,|y|^{3/4},1000,0.0,16.0
power_alpha_0.75,|y|^{3/4},1500,0.0,16.0
power_alpha_0.75,|y|^{3/4},2000,0.0,16.0
power_alpha_0.75,|y|^{3/4},3000,0.0,16.0
power_alpha_0.75,|y|^{3/4},5000,0.0,10.985605433061174
