K,delta,bss_2_analytical,bss_3_analytical,bss_4_analytical,bss_5_analytical,bss_2_numerical,bss_3_numerical,bss_4_numerical,bss_5_numerical,ratio_3_over_2,ratio_4_over_2,ratio_5_over_2
2,0.05,3.444991791897065,1.6601654857354242,1.0077067730914915,0.7630959026244126,3.222775416223362,1.2116283725491863,0.38271244818688377,0.01618972434313764,0.4819069495725026,0.29251354835204824,0.22150877236319802
3,0.05,2.5944349293239193,0.9479082955265979,0.5060969139314977,0.43057745886233073,2.40690717200252,0.6100264733653793,0.07402922362686828,4.336808689942018e-18,0.3653621390973225,0.19507018974007603,0.16596194184547708
5,0.05,1.736553509758148,0.43998204170285526,0.2618912702843759,0.33239722898969754,1.5975924135742585,0.2229248119419358,4.336808689942018e-18,4.336808689942018e-18,0.2533650931171894,0.150810941795194,0.19141202797487705
7,0.05,1.3047629773326992,0.26154177667322537,0.23748681212737954,0.26011289183291036,1.1952846745149062,0.0994044825222477,4.336808689942018e-18,4.336808689942018e-18,0.20045156186749719,0.1820152903271896,0.19935643205071157
10,0.05,0.9499521866559484,0.15025791087301996,0.3554260919986039,0.13342231658102716,0.8671648641053931,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,0.15817418285225765,0.3741515594061487,0.14045161267611225
15,0.05,0.6530343546002453,0.07819509031133791,1.1902622559848441,0.10842344550533349,0.5942362885072485,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,0.11974115873154177,1.822664072112198,0.16603023216397989
20,0.05,0.4968766642816812,0.045343507437817246,3.574296425016522,0.1951201357678541,0.45125923798378786,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,0.09125706779441718,7.193528458785177,0.39269329754081544
31,0.05,0.3241632789052327,0.0,8.283930509512494,0.27145279075024886,0.29348422589590883,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,0.0,25.55480848259267,0.8373952523771409
50,0.05,0.19976217821765685,0.0,8.138225888243282,0.16262349985420657,0.17987409304022284,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,0.0,40.73957323080466,0.814085535636357
75,0.05,0.1288722448680496,0.046308445746403464,1.2235186575281658,0.0,0.11482853635724749,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,0.3593360680091978,9.49404318036757,0.0
100,0.05,0.09123023537176048,0.11521164919454147,0.044354495520071244,1.0586304846883856,0.07986650105976784,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,1.2628669511270847,0.48618196959953025,11.603943367837408
150,0.05,0.04841217202101057,0.5743017894363854,0.0,9.99987499921874,0.03835330262599956,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,11.86275610991265,0.0,206.55704096231952
200,0.05,0.015300616248568367,2.7094830524948166,0.0,9.999874943993069,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,177.08326308414766,0.0,653.5602737522894
300,0.05,0.0,9.505979020382203,0.0,9.736956241897817,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,,,
500,0.05,0.0,9.999768442393316,0.0,9.99976846696519,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,,,
750,0.05,0.0,9.999874997576097,0.0,9.999874997576097,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,,,
1000,0.05,0.0,9.99987499921872,0.0,9.99987499921872,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,,,
2000,0.05,0.0,9.99987499921874,0.0,9.99987499921874,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,,,
5000,0.05,0.0,9.99987499921874,0.0,9.99987499921874,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,,,
10000,0.05,0.0,9.99987499921874,0.0,9.99987499921874,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,,,
50000,0.05,0.0,9.99987499921874,0.0,9.99987499921874,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,,,
100000,0.05,0.0,9.99987499921874,0.0,9.99987499921874,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,4.336808689942018e-18,,,
